Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
13/12/2015,0.79,980891.18,476178.99,319789.56,62436.8,122485.83,114978.22,7472.99,34.62,conventional,2015,DallasFtWorth
6/12/2015,0.74,1054849.97,514160.41,412692.22,8533.47,119463.87,108772.12,10525.27,166.48,conventional,2015,DallasFtWorth
29/11/2015,0.8,839818.87,477944.48,244879.52,6211.5,110783.37,96799.4,13967.44,16.53,conventional,2015,DallasFtWorth
22/11/2015,0.78,885067.49,494872.79,264820.58,9913.68,115460.44,102317.99,13138.76,3.69,conventional,2015,DallasFtWorth
15/11/2015,0.71,1040439.71,642897.96,263132.27,10305.52,124103.96,109552.23,14527.64,24.09,conventional,2015,DallasFtWorth
8/11/2015,0.8,977717.36,563069.05,278244.62,33026.94,103376.75,92853.6,10364.96,158.19,conventional,2015,DallasFtWorth
1/11/2015,0.78,1114177.66,546040.25,376913.25,85323.07,105901.09,98097.43,7644.9,158.76,conventional,2015,DallasFtWorth
25/10/2015,0.86,1010394.81,557469.46,301143.5,49959.1,101822.75,96417.63,5279.41,125.71,conventional,2015,DallasFtWorth
18/10/2015,0.83,992983.76,570732.49,266044.08,61892.18,94315.01,87201.1,7044.44,69.47,conventional,2015,DallasFtWorth
11/10/2015,0.81,1100679.15,543166.98,349743.64,99900.94,107867.59,101828.12,5967.19,72.28,conventional,2015,DallasFtWorth
4/10/2015,0.82,1104602.14,491729.14,439095.32,50993.14,122784.54,107305.26,15396.93,82.35,conventional,2015,DallasFtWorth
27/9/2015,0.84,1063583.86,533088.33,390554.54,25647.49,114293.5,101477.9,12776.1,39.5,conventional,2015,DallasFtWorth
20/9/2015,0.77,1155212.67,606586.38,425539.41,10973.08,112113.8,99272.95,12833.33,7.52,conventional,2015,DallasFtWorth
13/9/2015,0.86,1212585.41,564967.74,494078.53,9094.89,144444.25,119755.29,24666.41,22.55,conventional,2015,DallasFtWorth
6/9/2015,0.84,1270739.69,626166.71,505568.94,9815.66,129188.38,120588.01,8581.65,18.72,conventional,2015,DallasFtWorth
30/8/2015,0.82,1101680.91,674670.89,309275.19,7468.25,110266.58,101093.6,9171.11,1.87,conventional,2015,DallasFtWorth
23/8/2015,0.85,1120172.03,679440.88,321325.08,8261.74,111144.33,102621.57,8502.23,20.53,conventional,2015,DallasFtWorth
16/8/2015,0.88,1122668.33,718594.72,287298.98,7090.26,109684.37,100806.9,8864.44,13.03,conventional,2015,DallasFtWorth
9/8/2015,0.85,1124259.51,674531.14,332173.47,7793.22,109761.68,101618.63,8139.34,3.71,conventional,2015,DallasFtWorth
2/8/2015,0.87,1067498.21,705846.27,253860.7,4688.24,103103.0,91893.62,11209.38,0.0,conventional,2015,DallasFtWorth
26/7/2015,0.8,1191310.92,661845.98,406523.56,6417.32,116524.06,97727.08,18793.29,3.69,conventional,2015,DallasFtWorth
19/7/2015,0.82,1186878.88,684455.16,364124.15,4970.49,133329.08,115942.32,17379.41,7.35,conventional,2015,DallasFtWorth
12/7/2015,0.82,1144448.23,713425.63,319277.99,4382.19,107362.42,102573.93,4008.88,779.61,conventional,2015,DallasFtWorth
5/7/2015,0.83,1320696.13,835215.79,334916.29,5388.47,145175.58,139670.52,5497.78,7.28,conventional,2015,DallasFtWorth
28/6/2015,0.77,1203553.98,760374.24,302577.78,7191.26,133410.7,125900.09,7499.76,10.85,conventional,2015,DallasFtWorth
21/6/2015,0.75,1283503.44,755351.26,375820.52,8600.7,143730.96,134708.23,9013.74,8.99,conventional,2015,DallasFtWorth
14/6/2015,0.65,1508750.45,1013252.58,353165.21,7557.93,134774.73,130578.16,4187.62,8.95,conventional,2015,DallasFtWorth
7/6/2015,0.73,1255575.78,788982.74,319283.75,13350.4,133958.89,126849.55,7102.22,7.12,conventional,2015,DallasFtWorth
31/5/2015,0.68,1377670.81,941838.33,315653.39,7287.06,112892.03,99456.4,13421.47,14.16,conventional,2015,DallasFtWorth
24/5/2015,0.81,1184131.34,775365.99,299938.43,6833.07,101993.85,96860.23,5117.65,15.97,conventional,2015,DallasFtWorth
17/5/2015,0.73,1219398.43,855871.73,261026.33,6382.5,96117.87,88480.13,7628.89,8.85,conventional,2015,DallasFtWorth
10/5/2015,0.75,1298826.19,817727.07,357330.3,7803.87,115964.95,107302.84,8644.44,17.67,conventional,2015,DallasFtWorth
3/5/2015,0.77,1282852.08,652304.49,509069.75,9753.52,111724.32,104797.33,6148.99,778.0,conventional,2015,DallasFtWorth
26/4/2015,0.81,1102639.51,717960.82,270228.19,12091.21,102359.29,91505.88,10463.78,389.63,conventional,2015,DallasFtWorth
19/4/2015,0.8,1137811.87,735235.09,284292.72,16013.68,102270.38,89209.96,13055.16,5.26,conventional,2015,DallasFtWorth
12/4/2015,0.72,1266899.55,871511.12,288420.79,12596.79,94370.85,85100.44,9261.6,8.81,conventional,2015,DallasFtWorth
5/4/2015,0.77,1324348.89,802917.65,387745.54,13592.62,120093.08,105522.18,13748.75,822.15,conventional,2015,DallasFtWorth
29/3/2015,0.79,1164808.22,645523.05,396361.0,13339.76,109584.41,95894.64,13670.42,19.35,conventional,2015,DallasFtWorth
22/3/2015,0.67,1333424.37,925527.04,297656.4,11678.42,98562.51,88559.01,9991.57,11.93,conventional,2015,DallasFtWorth
15/3/2015,0.72,1211158.55,726176.09,368421.28,14065.99,102495.19,90708.11,11780.0,7.08,conventional,2015,DallasFtWorth
8/3/2015,0.75,1218684.28,724775.83,371564.05,11201.82,111142.58,97450.44,13677.78,14.36,conventional,2015,DallasFtWorth
1/3/2015,0.82,1144032.03,665032.82,358628.24,12398.67,107972.3,95284.48,12675.55,12.27,conventional,2015,DallasFtWorth
22/2/2015,0.8,1116600.76,695493.39,305788.6,12580.26,102738.51,85321.83,17416.68,0.0,conventional,2015,DallasFtWorth
15/2/2015,0.77,1020856.87,625813.98,299799.46,12656.97,82586.46,67518.45,15061.17,6.84,conventional,2015,DallasFtWorth
8/2/2015,0.67,1207167.54,737968.75,376914.26,12106.6,80177.93,67959.08,12176.08,42.77,conventional,2015,DallasFtWorth
1/2/2015,0.68,1391089.32,786166.9,495262.11,18855.32,90804.99,79314.06,11474.72,16.21,conventional,2015,DallasFtWorth
25/1/2015,0.8,1008295.47,649344.32,271152.06,9610.83,78188.26,60158.3,18029.96,0.0,conventional,2015,DallasFtWorth
18/1/2015,0.76,1091677.29,627090.61,374230.89,15550.56,74805.23,62375.69,12416.71,12.83,conventional,2015,DallasFtWorth
11/1/2015,0.76,1128693.04,680572.11,348535.22,11900.83,87684.88,67857.83,19801.95,25.1,conventional,2015,DallasFtWorth
4/1/2015,0.74,1086363.97,612795.8,374420.68,9817.28,89330.21,54563.33,34760.08,6.8,conventional,2015,DallasFtWorth
27/12/2015,0.98,625475.1,93034.2,246747.13,19103.69,266590.08,38620.02,227884.21,85.85,conventional,2015,Denver
20/12/2015,1.05,528944.54,113403.55,188263.2,24477.83,202799.96,34993.02,167806.94,0.0,conventional,2015,Denver
13/12/2015,0.83,741702.5,96222.34,321764.32,29349.34,294366.5,34244.4,260040.92,81.18,conventional,2015,Denver
